Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Lucky Bingo 777 (Asia) (PAL) (Unl).zip|Lucky Bingo 777 (Asia) (PAL) (Unl)|幸运宾果777
Lunar Ball (Japan).zip|Lunar Ball (Japan)|月宫桌球（日）
Lunar Pool (Europe).zip|Lunar Pool (Europe)|月宫桌球（欧）
Lunar pool.zip|Lunar pool|月宫桌球
Lunar Pool (USA).zip|Lunar Pool (USA)|月宫桌球（美）
Luo Luo Adventure 2.zip|Luo Luo Adventure 2|洛洛大冒险2
Luo Luo Adventure 3.zip|Luo Luo Adventure 3|洛洛大冒险3
Luo Luo Adventure.zip|Luo Luo Adventure|洛洛大冒险
Lupin Sansei - Pandora no Isan (Japan).zip|Lupin Sansei - Pandora no Isan (Japan)|鲁邦三世
M82 Game Selectable Working Product Display (Europe).zip|M82 Game Selectable Working Product Display (Europe)|82合1(欧)
Machine gun.zip|Machine gun|机关枪
Mach Rider (Europe).zip|Mach Rider (Europe)|机车大赛（欧）
Mach Rider (Japan- USA).zip|Mach Rider (Japan- USA)|机车大赛（日）
Mach Rider (Japan- USA) (Rev A).zip|Mach Rider (Japan- USA) (Rev A)|机车大赛
Macross.zip|Macross|超时空要塞
Mad City (Japan) (Beta).zip|Mad City (Japan) (Beta)|鳄鱼先生
Mad City (Japan).zip|Mad City (Japan)|鳄鱼先生（日）
Madoola no Tsubasa (Japan).zip|Madoola no Tsubasa (Japan)|玛多拉之翼
Mafat Conspiracy- The (USA).zip|Mafat Conspiracy- The (USA)|玛法特的阴谋
Magg Max.zip|Magg Max|超级磁感应
Magical Kid's Doropie (Japan).zip|Magical Kid's Doropie (Japan)|魔女小红帽
Magical Mathematics (Asia) (NTSC) (Unl).zip|Magical Mathematics (Asia) (NTSC) (Unl)|小魔星达鲁鲁（亚）(NTSC)
Magical Mathematics (Asia) (PAL) (Unl).zip|Magical Mathematics (Asia) (PAL) (Unl)|小魔星达鲁鲁（亚）(PAL)
Magical Taruruuto-kun 2 - Mahou Daibouken (Japan).zip|Magical Taruruuto-kun 2 - Mahou Daibouken (Japan)|小魔星达鲁鲁2
Magical Taruruuto-kun - Fantastic World!! (Japan).zip|Magical Taruruuto-kun - Fantastic World!! (Japan)|小魔星达鲁鲁（日）
Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1).zip|Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1)|小魔星达鲁鲁
Magic Block (Asia) (Mega Soft) (Unl).zip|Magic Block (Asia) (Mega Soft) (Unl)|魔术积木（亚）
Magic blocks.zip|Magic blocks|魔术积木
Magic boy.zip|Magic boy|魔法小子
Magic Candle- The (Japan).zip|Magic Candle- The (Japan)|魔方（日）
Magic Cube (Asia) (PAL) (Unl).zip|Magic Cube (Asia) (PAL) (Unl)|魔方（亚）
Magic Darts (Japan).zip|Magic Darts (Japan)|飞标大赛（日）
Magic Darts (USA).zip|Magic Darts (USA)|飞标大赛（美）
Magic day boy.zip|Magic day boy|魔法男孩
Magician (USA) (Beta 1).zip|Magician (USA) (Beta 1)|魔术师(Beta 1)
Magician (USA) (Beta 2).zip|Magician (USA) (Beta 2)|魔术师(Beta 2)
Magician (USA).zip|Magician (USA)|魔术师（美）
Magic Jewelry (Asia) (Unl).zip|Magic Jewelry (Asia) (Unl)|钻石方块（亚）
Magic jewelry.zip|Magic jewelry|钻石方块
Magic John (Japan).zip|Magic John (Japan)|魔术师约翰逊
Magic Johnson's Fast Break (USA).zip|Magic Johnson's Fast Break (USA)|魔术师约翰逊的快攻
Magic Kid Googoo (Korea) (Unl).zip|Magic Kid Googoo (Korea) (Unl)|魔法少年
Magic of Scheherazade- The (USA).zip|Magic of Scheherazade- The (USA)|阿拉伯之梦
Magic square.zip|Magic square|幻方算法
Magmax (Japan).zip|Magmax (Japan)|组合金刚（日）
Magmax (USA).zip|Magmax (USA)|组合金刚（美）
Magnum Kikiippatsu - Empire City - 1931 (Japan).zip|Magnum Kikiippatsu - Empire City - 1931 (Japan)|玛克纳姆危机一发 -帝国城 -?1931
Maharaja (Japan).zip|Maharaja (Japan)|土邦主
Mahjang Companion (Asia) (Hacker) (Unl).zip|Mahjang Companion (Asia) (Hacker) (Unl)|麻雀指南（亚）
Mahjang Companion (Asia) (Sachen) (Unl).zip|Mahjang Companion (Asia) (Sachen) (Unl)|麻雀指南
Mahjong Academy (Asia) (Unl).zip|Mahjong Academy (Asia) (Unl)|麻将学园
Mahjong Block (Unknown) (Unl).zip|Mahjong Block (Unknown) (Unl)|麻将牌
Mahjong Club Nagatachou - Sousaisen (Japan).zip|Mahjong Club Nagatachou - Sousaisen (Japan)|麻将俱乐部永田町总裁战
Mahjong Club.zip|Mahjong Club|麻将俱乐部
Mahjong (Japan) (Rev A).zip|Mahjong (Japan) (Rev A)|麻将(Rev A)
Mahjong RPG Dora Dora Dora (Japan).zip|Mahjong RPG Dora Dora Dora (Japan)|麻将RPG
Mahjong Taikai (Japan).zip|Mahjong Taikai (Japan)|麻雀大戦（日）
Mahjong Taisen (Japan).zip|Mahjong Taisen (Japan)|麻雀大戦
Mahjong Trap - Si Cuan Ma Que (Asia) (Unl).zip|Mahjong Trap - Si Cuan Ma Que (Asia) (Unl)|四川麻雀-制服篇
Maison Ikkoku (Japan).zip|Maison Ikkoku (Japan)|相聚一刻
Majaventure - Mahjong Senki (Japan).zip|Majaventure - Mahjong Senki (Japan)|麻雀战记
Major League Baseball (USA).zip|Major League Baseball (USA)|棒球联盟（美）
Major League Baseball (USA) (Rev A).zip|Major League Baseball (USA) (Rev A)|棒球联盟
Major League (Japan).zip|Major League (Japan)|棒球联盟（日）
Makai Island (USA) (Proto).zip|Makai Island (USA) (Proto)|魔界岛
Makaimura (Japan).zip|Makaimura (Japan)|大魔界村
Maniac Mansion (Europe).zip|Maniac Mansion (Europe)|疯狂大楼（欧）
Maniac Mansion (Japan).zip|Maniac Mansion (Japan)|疯狂大楼（日）
Maniac Mansion (Spain).zip|Maniac Mansion (Spain)|疯狂大楼（西）
Maniac Mansion (Sweden).zip|Maniac Mansion (Sweden)|疯狂大楼（瑞）
Maniac Mansion (USA) (Beta).zip|Maniac Mansion (USA) (Beta)|疯狂大楼
Maniac Mansion (USA).zip|Maniac Mansion (USA)|疯狂大楼（美）
Mappy (Japan).zip|Mappy (Japan)|猫和老鼠
Mappy-Land (Japan).zip|Mappy-Land (Japan)|猫鼠大战（日）
Mappy-Land (USA).zip|Mappy-Land (USA)|猫鼠大战（美）
Marble Madness (Europe).zip|Marble Madness (Europe)|狂暴弹珠（欧）
Marble Madness (USA).zip|Marble Madness (USA)|狂暴弹珠（美）
Marusa no Onna (Japan).zip|Marusa no Onna (Japan)|玛鲁沙之女
Mashin Eiyuu Den Wataru Gaiden (Japan).zip|Mashin Eiyuu Den Wataru Gaiden (Japan)|魔神英雄传
Mashou (Japan).zip|Mashou (Japan)|魔钟(日版)
Masked man revenge.zip|Masked man revenge|蒙面人复仇
Masked Ninja Flower Pills (Chinese version).zip|Masked Ninja Flower Pills (Chinese version)|蒙面忍者
Masked Superman SD.zip|Masked Superman SD|蒙面超人
Master and alcoholic.zip|Master and alcoholic|主人和酒鬼
Master Chu and the Drunkard Hu (USA) (Unl).zip|Master Chu and the Drunkard Hu (USA) (Unl)|盗帅楚留香（美）
Masuzoe Youichi - Asa Made Famicom (Japan).zip|Masuzoe Youichi - Asa Made Famicom (Japan)|迷宫
Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan).zip|Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan)|松本亨经营必胜学2
Matsumoto Tooru no Kabushiki Hisshou Gaku - Vol. 1 (Japan).zip|Matsumoto Tooru no Kabushiki Hisshou Gaku - Vol. 1 (Japan)|松本亨经营必胜学
Maxi-15 Pack (Australia) (Unl).zip|Maxi-15 Pack (Australia) (Unl)|15合1(澳版)
Maxi 15 (USA) (Rev 1) (Unl).zip|Maxi 15 (USA) (Rev 1) (Unl)|15合1(美版)(第1版)
Maxi 15 (USA) (Unl).zip|Maxi 15 (USA) (Unl)|15合1(美版)
Max Warrior - Wakusei Kaigenrei (Japan).zip|Max Warrior - Wakusei Kaigenrei (Japan)|孤独战士-惑星戒严令
maze.zip|maze|迷宫
Maze suite.zip|Maze suite|迷宫套房
McDonaldland (Europe).zip|McDonaldland (Europe)|麦当劳（欧）
McDonald's kid.zip|McDonald's kid|麦当劳
M.C. Kids (USA) (Beta).zip|M.C. Kids (USA) (Beta)|麦当劳小子
M.C. Kids (USA).zip|M.C. Kids (USA)|麦当劳小子（美）
Measure the destination of the star.zip|Measure the destination of the star|测量星星的终点
Mechanical warfare 1.zip|Mechanical warfare 1|机械战
Mechanical warfare 2.zip|Mechanical warfare 2|机械战2
Mechanical War Vs Devil Terminator.zip|Mechanical War Vs Devil Terminator|机械战vs魔鬼终结者
Mechanized Attack (USA).zip|Mechanized Attack (USA)|机枪双雄?
Mega Man 2 (Europe).zip|Mega Man 2 (Europe)|洛克人2（欧）
Mega Man 2 (USA).zip|Mega Man 2 (USA)|洛克人2（美）
Mega Man 3 (Europe) (Rev A).zip|Mega Man 3 (Europe) (Rev A)|洛克人3（欧）(Rev A)
Mega Man 3 (USA) (Beta).zip|Mega Man 3 (USA) (Beta)|洛克人3
Mega Man 3 (USA).zip|Mega Man 3 (USA)|洛克人3（美）
Mega Man 4 (Europe).zip|Mega Man 4 (Europe)|洛克人4（欧）
Mega Man 4 (USA).zip|Mega Man 4 (USA)|洛克人4（美）
Mega Man 4 (USA) (Rev A).zip|Mega Man 4 (USA) (Rev A)|洛克人4
Mega Man 5 (Europe).zip|Mega Man 5 (Europe)|洛克人5（欧）
Mega Man 5 (USA).zip|Mega Man 5 (USA)|洛克人5（美）
Mega Man (Europe).zip|Mega Man (Europe)|洛克人（欧）
Mega Man (USA).zip|Mega Man (USA)|洛克人（美）
Mei Guo Fu Hao - American Man (China) (Unl).zip|Mei Guo Fu Hao - American Man (China) (Unl)|美国富豪
Meiji Ishin (Japan).zip|Meiji Ishin (Japan)|明治维新
Meikyuu-jima (Japan).zip|Meikyuu-jima (Japan)|迷宫岛
Meikyuu Kumikyoku - Milon no Daibouken (Japan).zip|Meikyuu Kumikyoku - Milon no Daibouken (Japan)|迷宫组曲 迷路大冒険?
Meikyuu no Tatsujin - Daimeiro (Japan).zip|Meikyuu no Tatsujin - Daimeiro (Japan)|大迷路 迷宮の達人
Meimon! Takonishi Ouendan - Kouha 6 Nin Shuu (Japan).zip|Meimon! Takonishi Ouendan - Kouha 6 Nin Shuu (Japan)|名門!多古西応援団 硬派六人眾
Meitantei Holmes - Kiri no London Satsujin Jiken (Japan).zip|Meitantei Holmes - Kiri no London Satsujin Jiken (Japan)|名侦探福尔摩斯?伦敦杀人事件
Meitantei Holmes - M kara no Chousenjou (Japan).zip|Meitantei Holmes - M kara no Chousenjou (Japan)|名侦探柯南魔术师之挑战书
Melancholy brother.zip|Melancholy brother|忧郁兄弟
Memory competition.zip|Memory competition|记忆竞争
Menace Beach (USA) (Unl).zip|Menace Beach (USA) (Unl)|海滩威胁
Mendel Palace (USA).zip|Mendel Palace (USA)|孟德尔宫殿
Meng Huan - Xiang Shuai Chuan Qi Zhi Xue Hai Piao Ling (China) (Unl).zip|Meng Huan - Xiang Shuai Chuan Qi Zhi Xue Hai Piao Ling (China) (Unl)|梦幻 香帅传奇之血海飘零
Mermaids of Atlantis - The Riddle of the Magic Bubble (USA) (Unl).zip|Mermaids of Atlantis - The Riddle of the Magic Bubble (USA) (Unl)|亚特兰蒂斯的美人鱼
Metal Fighter (Asia) (Sachen) (Unl).zip|Metal Fighter (Asia) (Sachen) (Unl)|金属战斗
Metal Fighter Mu (Japan) (Unl).zip|Metal Fighter Mu (Japan) (Unl)|金属战斗者美克
Metal Force (Korea) (Unl).zip|Metal Force (Korea) (Unl)|钢铁力量
Metal Gear (Europe).zip|Metal Gear (Europe)|合金装备（欧）
Metal Gear (Japan).zip|Metal Gear (Japan)|合金装备（日）
Metal Gear.zip|Metal Gear|合金装备
Metal Gear (USA).zip|Metal Gear (USA)|合金装备（美）
Metal Max (Japan).zip|Metal Max (Japan)|重装机兵
Metal Mech - Man & Machine (USA).zip|Metal Mech - Man & Machine (USA)|金属装甲
Metal Slader Glory (Japan).zip|Metal Slader Glory (Japan)|金属之光
Metal storm.zip|Metal storm|金属风暴
Metal Storm (USA).zip|Metal Storm (USA)|金属风暴（美）
Metro-Cross (Japan).zip|Metro-Cross (Japan)|追赶跑跳蹦
Metroid (Europe).zip|Metroid (Europe)|银河战士（欧）
Metroid (USA).zip|Metroid (USA)|银河战士（美）
Mezase Pachi Pro - Pachio-kun (Japan) (Beta).zip|Mezase Pachi Pro - Pachio-kun (Japan) (Beta)|帕青哥君
Mezase Pachi Pro - Pachio-kun (Japan).zip|Mezase Pachi Pro - Pachio-kun (Japan)|帕青哥君（日）
Mezase Top Pro - Green ni Kakeru Yume (Japan).zip|Mezase Top Pro - Green ni Kakeru Yume (Japan)|职业高尔夫球?
Michael Andretti's World GP (USA).zip|Michael Andretti's World GP (USA)|迈克尔·安德烈蒂的世界全科医生
Mickey Mouse 7.zip|Mickey Mouse 7|米老鼠7
Mickey Mousecapade (USA).zip|Mickey Mousecapade (USA)|米奇
Mickey Mouse - Dream Balloon (USA) (Beta).zip|Mickey Mouse - Dream Balloon (USA) (Beta)|凯伦冒险记
Mickey Mouse - Fushigi no Kuni no Daibouken (Japan).zip|Mickey Mouse - Fushigi no Kuni no Daibouken (Japan)|米老鼠
Mickey Mouse III - Yume Fuusen (Japan).zip|Mickey Mouse III - Yume Fuusen (Japan)|米老鼠3
Mickey's Adventure in Numberland (USA).zip|Mickey's Adventure in Numberland (USA)|米老鼠数字岛大冒险
Mickey's Safari in Letterland (USA).zip|Mickey's Safari in Letterland (USA)|米老鼠字母岛大冒险
Midway Island 1942 (Invincible Edition).zip|Midway Island 1942 (Invincible Edition)|中途岛
MiG 29 - Soviet Fighter (USA) (Unl).zip|MiG 29 - Soviet Fighter (USA) (Unl)|米格29战斗机
Might and Magic - Book One - Secret of the Inner Sanctum (Japan).zip|Might and Magic - Book One - Secret of the Inner Sanctum (Japan)|魔法门:心灵圣地之谜（日）
Might & Magic - Secret of the Inner Sanctum (USA).zip|Might & Magic - Secret of the Inner Sanctum (USA)|魔法门:心灵圣地之谜（美）
Mighty Bomb Jack (Europe).zip|Mighty Bomb Jack (Europe)|炸弹人杰克（欧）
Mighty Bomb Jack (Japan).zip|Mighty Bomb Jack (Japan)|炸弹人杰克（日）
Mighty Bomb Jack (USA).zip|Mighty Bomb Jack (USA)|炸弹人杰克（美）
Mighty Final Fight (Europe).zip|Mighty Final Fight (Europe)|快打旋风（欧）
Mighty Final Fight (Japan).zip|Mighty Final Fight (Japan)|快打旋风（日）
Mighty Final Fight (USA).zip|Mighty Final Fight (USA)|快打旋风（美）
Mike Tyson Boxing!.zip|Mike Tyson Boxing!|麦克泰森拳击
Mike Tyson's Intergalactic Power Punch (USA) (Beta) [b].zip|Mike Tyson's Intergalactic Power Punch (USA) (Beta) [b]|麦克泰森拳击（美）
Mike Tyson's Punch-Out!! (Europe).zip|Mike Tyson's Punch-Out!! (Europe)|麦克泰森拳击（欧）
Mike Tyson's Punch-Out!! (Europe) (Rev A).zip|Mike Tyson's Punch-Out!! (Europe) (Rev A)|麦克泰森拳击（欧）(Rev A)
Mike Tyson's Punch-Out!! (Japan- USA).zip|Mike Tyson's Punch-Out!! (Japan- USA)|麦克泰森拳击（日）
Mike Tyson's Punch-Out!! (Japan- USA) (Rev A).zip|Mike Tyson's Punch-Out!! (Japan- USA) (Rev A)|麦克泰森拳击（日）(Rev A)
Millionaire (Asia) (PAL) (Unl).zip|Millionaire (Asia) (PAL) (Unl)|百万富翁
Millipede - Kyodai Konchuu no Gyakushuu (Japan).zip|Millipede - Kyodai Konchuu no Gyakushuu (Japan)|千足虫 昆虫的逆袭 (日版)?
Millipede.zip|Millipede|千足虫
Millipede (USA).zip|Millipede (USA)|千足虫（美）
Milon's Secret Castle (USA).zip|Milon's Secret Castle (USA)|迷宫组曲
Mind Blower Pak (Australia) (Unl).zip|Mind Blower Pak (Australia) (Unl)|狡猾的帕克
Mindseeker (Japan).zip|Mindseeker (Japan)|思想探索者
Mind warship.zip|Mind warship|心灵战舰
Mining [Chinese version].zip|Mining [Chinese version]|挖矿
Mini Putt (Japan).zip|Mini Putt (Japan)|迷你高尔夫球
Miracle of Life - Super Baby.zip|Miracle of Life - Super Baby|生命的奇迹
Miracle Ropit's - 2100 Nen no Daibouken (Japan).zip|Miracle Ropit's - 2100 Nen no Daibouken (Japan)|神奇罗比特冒险
Miracle Superman.zip|Miracle Superman|奇迹超人
Mirai Shinwa Jarvas (Japan).zip|Mirai Shinwa Jarvas (Japan)|未来神话
Mission Cobra (USA) (Unl).zip|Mission Cobra (USA) (Unl)|眼镜蛇任务
Mission Impossible (Europe).zip|Mission Impossible (Europe)|碟中谍（欧）
Mission Impossible (USA).zip|Mission Impossible (USA)|碟中谍（美）
Mississippi Satsujin Jiken (Japan).zip|Mississippi Satsujin Jiken (Japan)|南海道杀人事件（日）
Mississippi Satsujin Jiken (Japan) (Rev A).zip|Mississippi Satsujin Jiken (Japan) (Rev A)|南海道杀人事件
Moaijun.zip|Moaijun|摩艾君
Moai-kun (Japan).zip|Moai-kun (Japan)|摩艾君（日）
modern Family.zip|modern Family|摩登家庭
Moe Pro! '90 - Kandou Hen (Japan).zip|Moe Pro! '90 - Kandou Hen (Japan)|燃烧棒球'90-感动篇
Moe Pro! - Saikyou Hen (Japan).zip|Moe Pro! - Saikyou Hen (Japan)|燃烧棒球-最强篇
Moero!! Junior Basket - Two on Two (Japan).zip|Moero!! Junior Basket - Two on Two (Japan)|燃烧篮球
Moero!! Juudou Warriors (Japan).zip|Moero!! Juudou Warriors (Japan)|燃烧柔道战士
Moero!! Pro Tennis (Japan).zip|Moero!! Pro Tennis (Japan)|燃烧职业网球（日）
Moero!! Pro Yakyuu '88 - Ketteiban (Japan).zip|Moero!! Pro Yakyuu '88 - Ketteiban (Japan)|燃烧棒球!!'88?决定版
Moero!! Pro Yakyuu (Japan) (Beta).zip|Moero!! Pro Yakyuu (Japan) (Beta)|燃烧职业棒球
Moero!! Pro Yakyuu (Japan).zip|Moero!! Pro Yakyuu (Japan)|燃烧职业棒球（日）
Moero!! Pro Yakyuu (Japan) (Rev 1).zip|Moero!! Pro Yakyuu (Japan) (Rev 1)|?燃烧职业棒球(Rev 1)
Moero!! Pro Yakyuu (Japan) (Rev 2).zip|Moero!! Pro Yakyuu (Japan) (Rev 2)|?燃烧职业棒球(Rev 2)
Moero!! Pro Yakyuu (Japan) (Rev 3).zip|Moero!! Pro Yakyuu (Japan) (Rev 3)|?燃烧职业棒球(Rev 3)
Moero TwinBee - Cinnamon Hakase o Sukue! (Japan).zip|Moero TwinBee - Cinnamon Hakase o Sukue! (Japan)|兵蜂2
Moeru! Oniisan (Japan).zip|Moeru! Oniisan (Japan)|森林好小子
Mole's story.zip|Mole's story|鼹鼠的故事
Momotarou Densetsu Gaiden (Japan).zip|Momotarou Densetsu Gaiden (Japan)|桃太郎传说
Momotarou Densetsu (Japan).zip|Momotarou Densetsu (Japan)|桃太郎电铁（日）
Momotarou Dentetsu (Japan).zip|Momotarou Dentetsu (Japan)|桃太郎电铁
Money Game II- The - Kabutochou no Kiseki (Japan).zip|Money Game II- The - Kabutochou no Kiseki (Japan)|金钱游戏2
Money Game- The (Japan).zip|Money Game- The (Japan)|金钱游戏
Monkey monkey.zip|Monkey monkey|猴子猴子
Monopoly (France).zip|Monopoly (France)|地产大亨（法）
Monopoly (Germany).zip|Monopoly (Germany)|地产大亨（德）
Monopoly (Japan).zip|Monopoly (Japan)|地产大亨（日）
Monopoly (USA).zip|Monopoly (USA)|地产大亨（美）
Monster in My Pocket (Europe).zip|Monster in My Pocket (Europe)|魔鬼总动员（欧）
Monster in My Pocket (USA) (Beta).zip|Monster in My Pocket (USA) (Beta)|魔鬼总动员
Monster in My Pocket (USA).zip|Monster in My Pocket (USA)|魔鬼总动员（美）
Monster Maker - 7 Tsu no Hihou (Japan).zip|Monster Maker - 7 Tsu no Hihou (Japan)|怪兽制造者-七个秘宝
Monster party.zip|Monster party|怪物聚会
Monster Party (USA).zip|Monster Party (USA)|怪物聚会（美）
Monster Truck Rally (USA).zip|Monster Truck Rally (USA)|大脚卡车拉力赛
Monstruo de los Globos- El (Spain) (Gluk Video) (Unl).zip|Monstruo de los Globos- El (Spain) (Gluk Video) (Unl)|地球怪兽艾尔
Monstruo de los Globos- El (Spain) (Rev 1) (Gluk Video) (Unl).zip|Monstruo de los Globos- El (Spain) (Rev 1) (Gluk Video) (Unl)|地球怪兽艾尔
Moon Crystal (Japan).zip|Moon Crystal (Japan)|月光宝石
Moon Ranger (USA) (Unl).zip|Moon Ranger (USA) (Unl)|月球探索队
Morita Shougi (Japan).zip|Morita Shougi (Japan)|森田和太郎之将棋
Motocross Champion (Japan).zip|Motocross Champion (Japan)|摩托越野赛
Motocross.zip|Motocross|越野摩托锦标赛
MotorCity Patrol (USA).zip|MotorCity Patrol (USA)|热血车城
motorcycle.zip|motorcycle|摩托车
Motorcyclist.zip|Motorcyclist|摩托车手
Mottomo Abunai Deka (Japan).zip|Mottomo Abunai Deka (Japan)|危险刑警
Moulin Rouge Senki - Melville no Honoo (Japan).zip|Moulin Rouge Senki - Melville no Honoo (Japan)|红磨坊战记 (日版)
Mouryou Senki Madara (Japan).zip|Mouryou Senki Madara (Japan)|鬼魅战记
Mr. Crocodile.zip|Mr. Crocodile|鳄鱼先生
Mr. Gimmick (USA) (Proto).zip|Mr. Gimmick (USA) (Proto)|吉米克先生（美）
Mr. Penguin - Adventure Tour [Chinese version].zip|Mr. Penguin - Adventure Tour [Chinese version]|企鹅先生
Ms. Pac-Man (USA) (Unl).zip|Ms. Pac-Man (USA) (Unl)|小精灵小姐
Mugen Senshi Valis (Japan).zip|Mugen Senshi Valis (Japan)|梦幻战士
M.U.L.E. (USA).zip|M.U.L.E. (USA)|殖民计划
Muppet Adventure - Chaos at the Carnival (USA).zip|Muppet Adventure - Chaos at the Carnival (USA)|木偶历险记
Murder Club - Honkaku Mystery Adventure (Japan).zip|Murder Club - Honkaku Mystery Adventure (Japan)|欲望刑事
Musashi no Bouken (Japan).zip|Musashi no Bouken (Japan)|六三四之剑（日）
Musashi no Ken - Tadaima Shugyou Chuu (Japan).zip|Musashi no Ken - Tadaima Shugyou Chuu (Japan)|六三四之剑
M.U.S.C.L.E. - Tag Team Match (USA).zip|M.U.S.C.L.E. - Tag Team Match (USA)|筋肉人摔角大赛
Mutant Virus- The - Crisis in a Computer World (USA).zip|Mutant Virus- The - Crisis in a Computer World (USA)|突变病毒:电脑世界的危机?
My Life My Love - Boku no Yume - Watashi no Negai (Japan).zip|My Life My Love - Boku no Yume - Watashi no Negai (Japan)|我的生命我的爱
Mysterious exploration.zip|Mysterious exploration|神秘探索
Mysterious knot.zip|Mysterious knot|神秘的结
Mystery Quest (USA).zip|Mystery Quest (USA)|谜之传说巫师大冒险
Mythology of Light - Legend of Angel Island.zip|Mythology of Light - Legend of Angel Island|天使岛之光神话字幕
Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan).zip|Nagagutsu o Haita Neko - Sekai Isshuu 80 Nichi Daibouken (Japan)|穿长靴的猫
Nakajima Satoru - F-1 Hero (Japan).zip|Nakajima Satoru - F-1 Hero (Japan)|中岛悟F1英雄
Nakajima Satoru Kanshuu - F-1 Hero 2 (Japan).zip|Nakajima Satoru Kanshuu - F-1 Hero 2 (Japan)|中岛悟F1英雄2
Nakayoshi to Issho (Japan).zip|Nakayoshi to Issho (Japan)|友情物语
Namco Classic II (Japan).zip|Namco Classic II (Japan)|南梦宫高尔夫二代
Namco Classic (Japan).zip|Namco Classic (Japan)|南梦宫高尔夫
Namco Prism Zone - Dream Master (Japan).zip|Namco Prism Zone - Dream Master (Japan)|梦境之王?
Namcot Mahjong III - Mahjong Tengoku (Japan).zip|Namcot Mahjong III - Mahjong Tengoku (Japan)|南梦宫麻将3:麻将天国
Nangoku Shirei!! - Spy vs Spy (Japan).zip|Nangoku Shirei!! - Spy vs Spy (Japan)|谍对谍-南国指令
Nantettatte!! Baseball (Japan).zip|Nantettatte!! Baseball (Japan)|南特塔特棒球（日）
NARC (USA).zip|NARC (USA)|城市猎人
Navy Blue (Japan).zip|Navy Blue (Japan)|GB版大海战
Nekketsu Kakutou Densetsu (Japan).zip|Nekketsu Kakutou Densetsu (Japan)|热血格斗传说
Nekketsu Koukou Dodgeball-bu (Japan).zip|Nekketsu Koukou Dodgeball-bu (Japan)|热血高校
Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan).zip|Nekketsu Koukou Dodgeball-bu - Soccer Hen (Japan)|热血高校-足球篇
Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan).zip|Nekketsu! Street Basket - Ganbare Dunk Heroes (Japan)|热血街头篮球-灌篮英雄加油
NES Open Tournament Golf (Europe).zip|NES Open Tournament Golf (Europe)|公开巡回高尔夫（欧）
NES Open Tournament Golf (USA).zip|NES Open Tournament Golf (USA)|公开巡回高尔夫（美）
NES Play Action Football (USA).zip|NES Play Action Football (USA)|超级橄榄球
New Ghostbusters II (Europe).zip|New Ghostbusters II (Europe)|新捉鬼敢死队2（欧）
New Ghostbusters II (Japan).zip|New Ghostbusters II (Japan)|新捉鬼敢死队2（日）
New Ghostbusters II (USA) (Proto).zip|New Ghostbusters II (USA) (Proto)|新捉鬼敢死队2（美）
New human.zip|New human|新人类
Newsboy.zip|Newsboy|报童
New species born.zip|New species born|新物种诞生
New York Big Boxing Cat.zip|New York Big Boxing Cat|纽约拳击猫
New York Nyankies (Japan).zip|New York Nyankies (Japan)|纽约大拳猫（日）
New Zealand story.zip|New Zealand story|新西兰故事
New Zealand Story- The (Europe).zip|New Zealand Story- The (Europe)|新西兰故事（欧）
Nichibutsu Mahjong III - Mahjong G Men (Japan).zip|Nichibutsu Mahjong III - Mahjong G Men (Japan)|麻雀道场3
Nigel Mansell's World Championship Challenge (USA).zip|Nigel Mansell's World Championship Challenge (USA)|曼塞尔的世界冠军挑战
Nigel Mansell's World Championship Racing (Europe) (En-Fr-De-Es-It).zip|Nigel Mansell's World Championship Racing (Europe) (En-Fr-De-Es-It)|尼吉尔世界冠军赛车
Nightmare on Elm Street- A (USA).zip|Nightmare on Elm Street- A (USA)|猛鬼街
Nihonichi no Mei Kantoku (Japan).zip|Nihonichi no Mei Kantoku (Japan)|彩虹之路?
Niji no Silk Road (Japan).zip|Niji no Silk Road (Japan)|彩虹丝路
Ninja 2.zip|Ninja 2|忍者2
Ninja Cop Saizou (Japan).zip|Ninja Cop Saizou (Japan)|忍者刑警
Ninja Crusaders - Ryuuga (Japan).zip|Ninja Crusaders - Ryuuga (Japan)|忍者龙牙（日）
Ninja Crusaders (USA).zip|Ninja Crusaders (USA)|忍者龙牙（美）
Ninja Gaiden - Episode II - The Dark Sword of Chaos (USA) (Beta) (1990-01-18).zip|Ninja Gaiden - Episode II - The Dark Sword of Chaos (USA) (Beta) (1990-01-18)|忍者龙剑传2（美）
Ninja Gaiden III - The Ancient Ship of Doom (USA).zip|Ninja Gaiden III - The Ancient Ship of Doom (USA)|忍者龙剑传3
Ninja Gaiden II - The Dark Sword of Chaos (USA).zip|Ninja Gaiden II - The Dark Sword of Chaos (USA)|忍者龙剑传2
Ninja Gaiden (USA) (Beta).zip|Ninja Gaiden (USA) (Beta)|忍者龙剑传
Ninja Gaiden (USA).zip|Ninja Gaiden (USA)|忍者龙剑传（美）
